Observation Count,Reporting_Location,Control,Test,Date,Cumulative Control,Cumulative Test
1,SAF0001,0,1,1/1/2023,0,1
2,SAF0002,1,1,1/1/2023,1,1
3,SAF0003,0,0,1/1/2023,0,0
4,SAF0004,0,0,1/1/2023,0,0
5,SAF0005,0,0,1/1/2023,0,0
6,SAF0006,1,0,1/1/2023,1,0
7,SAF0007,0,0,1/1/2023,0,0
8,SAF0008,0,1,1/1/2023,0,1
9,SAF0009,0,1,1/1/2023,0,1
10,SAF0010,1,0,1/1/2023,1,0
11,SAF0011,0,0,1/1/2023,0,0
12,SAF0012,0,0,1/1/2023,0,0
13,SAF0013,1,1,1/1/2023,1,1
14,SAF0014,0,1,1/1/2023,0,1
15,SAF0015,1,1,1/1/2023,1,1
16,SAF0016,1,1,1/1/2023,1,1
17,SAF0017,1,0,1/1/2023,1,0
18,SAF0018,0,0,1/1/2023,0,0
19,SAF0019,1,0,1/1/2023,1,0
20,SAF0020,0,1,1/1/2023,0,1
21,SAF0021,0,1,1/1/2023,0,1
22,SAF0022,0,1,1/1/2023,0,1
23,SAF0023,0,0,1/1/2023,0,0
24,SAF0024,0,1,1/1/2023,0,1
25,SAF0025,0,1,1/1/2023,0,1
26,SAF0026,1,0,1/1/2023,1,0
27,SAF0027,0,1,1/1/2023,0,1
28,SAF0028,0,1,1/1/2023,0,1
29,SAF0029,0,1,1/1/2023,0,1
30,SAF0030,0,0,1/1/2023,0,0
31,SAF0031,0,0,1/1/2023,0,0
32,SAF0032,1,0,1/1/2023,1,0
33,SAF0033,0,0,1/1/2023,0,0
34,SAF0034,1,0,1/1/2023,1,0
35,SAF0035,0,0,1/1/2023,0,0
36,SAF0036,0,0,1/1/2023,0,0
37,SAF0037,1,1,1/1/2023,1,1
38,SAF0038,0,1,1/1/2023,0,1
39,SAF0039,0,1,1/1/2023,0,1
40,SAF0040,1,1,1/1/2023,1,1
41,SAF0041,0,0,1/1/2023,0,0
42,SAF0042,1,0,1/1/2023,1,0
43,SAF0043,1,1,1/1/2023,1,1
44,SAF0044,1,0,1/1/2023,1,0
45,SAF0045,0,1,1/1/2023,0,1
46,SAF0046,1,0,1/1/2023,1,0
47,SAF0047,1,0,1/1/2023,1,0
48,SAF0048,0,1,1/1/2023,0,1
49,SAF0049,1,0,1/1/2023,1,0
50,SAF0050,1,0,1/1/2023,1,0
51,SAF0051,0,1,1/1/2023,0,1
52,SAF0052,1,0,1/1/2023,1,0
53,SAF0053,0,0,1/1/2023,0,0
54,SAF0054,0,1,1/1/2023,0,1
55,SAF0055,1,1,1/1/2023,1,1
56,SAF0056,1,1,1/1/2023,1,1
57,SAF0057,0,1,1/1/2023,0,1
58,SAF0058,0,0,1/1/2023,0,0
59,SAF0059,1,1,1/1/2023,1,1
60,SAF0060,1,1,1/1/2023,1,1
61,SAF0061,1,1,1/1/2023,1,1
62,SAF0062,0,0,1/1/2023,0,0
63,SAF0063,0,0,1/1/2023,0,0
64,SAF0064,1,1,1/1/2023,1,1
65,SAF0065,1,1,1/1/2023,1,1
66,SAF0066,1,1,1/1/2023,1,1
67,SAF0067,1,0,1/1/2023,1,0
68,SAF0001,1,1,1/15/2023,1,2
69,SAF0002,1,0,1/15/2023,2,1
70,SAF0003,1,0,1/15/2023,1,0
71,SAF0004,0,1,1/15/2023,0,1
72,SAF0005,0,1,1/15/2023,0,1
73,SAF0006,0,1,1/15/2023,1,1
74,SAF0007,1,1,1/15/2023,1,1
75,SAF0008,0,1,1/15/2023,0,2
76,SAF0009,1,0,1/15/2023,1,1
77,SAF0010,1,0,1/15/2023,2,0
78,SAF0011,0,0,1/15/2023,0,0
